age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
18,F,Village,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,17.0,300.63,53005.25,781.75,Yes,Yes,No,Not Applicable,Products always in Stock,0
32,F,City,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,16.0,306.34,12838.38,697.62,Yes,No,Yes,Solved,Quality Customer Care,0
44,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,14.0,516.16,21027.0,500.69,No,Yes,Yes,Solved in Follow-up,Poor Website,1
37,M,City,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11.0,53.27,25239.56,567.66,No,Yes,Yes,Unsolved,Poor Website,1
31,F,City,No Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,20.0,113.13,24483.66,663.06,No,Yes,Yes,Solved,Poor Website,1
13,M,City,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,23.0,433.62,13884.77,722.27,Yes,No,Yes,Unsolved,No reason specified,0
21,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,10.0,55.38,8982.5,756.21,Yes,No,Yes,Solved in Follow-up,No reason specified,0
42,M,Town,No Membership,No,Credit/Debit Card Offers,Both,Fiber_Optic,19.0,429.11,44554.82,568.08,No,Yes,Yes,Unsolved,Poor Product Quality,1
44,M,Village,Silver Membership,No,Without Offers,Smartphone,Fiber_Optic,15.0,191.07,18362.31,697.62,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0
45,F,Town,No Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,10.0,97.31,19244.16,706.23,No,Yes,Yes,No Information Available,Poor Customer Service,1
25,F,Village,Basic Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,14.0,570.23,35119.93,699.7,Yes,Yes,No,Not Applicable,Poor Product Quality,1
60,M,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14.0,55.53,41672.02,798.12,Yes,No,No,Not Applicable,Too many ads,0
11,M,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13.0,41.09,44007.18,608.26,Yes,No,Yes,Unsolved,Poor Customer Service,1
34,M,City,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10.0,89.76,21318.19,697.62,No,Yes,No,Not Applicable,Poor Product Quality,1
40,M,City,Premium Membership,No,Without Offers,Desktop,Fiber_Optic,20.0,100.59,14842.62,697.62,No,Yes,No,Not Applicable,Poor Website,0
16,F,Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,,30.14,18792.31,141.5132013,Yes,No,Yes,Unsolved,Too many ads,1
57,F,City,No Membership,No,Without Offers,Desktop,Wi-Fi,5.0,333.34,47241.32,697.62,Yes,Yes,Yes,Solved in Follow-up,Too many ads,1
11,M,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,12.0,275.13,29072.86,733.97,Yes,No,No,Not Applicable,Poor Customer Service,0
39,M,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,9.0,241.74,33170.16,551.11,Yes,No,Yes,No Information Available,No reason specified,1
45,M,City,Premium Membership,No,Without Offers,Desktop,Mobile_Data,14.0,31.15,66982.61,164.800769,Yes,No,Yes,Unsolved,Products always in Stock,0
33,M,Village,No Membership,No,Without Offers,Desktop,Wi-Fi,15.0,49.86,44289.97,703.96,Yes,No,No,Not Applicable,Poor Customer Service,1
30,M,Village,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,21.0,30.37,49404.86,630.61,Yes,No,Yes,No Information Available,Poor Website,1
